"Title ID","Region","Name","PKG direct link","zRIF","Content ID","Last Modification Date","Original Name","File Size","SHA256","Required FW","App Version"
"PCSE00373","US","Monster Monpiece","http://zeus.dl.playstation.net/cdn/UP0031/PCSE00373_00/uDPNazUOErIoSMuoXqfIrNdQnRkxDYNCgVpYNRvdyYtVgtvycWgtitxcElcYsBDh.pkg","KO5ifR1dQ+eHBgDth5lqbG4Mst/X3y84xDUISAV4ujq7GuLz3yH7S+Wl7AcKmA7PVg6xNZ43GuODGwAAM0ET9AAA","UP0031-PCSE00373_00-MONSTERMONPIECE1","2017-09-26 00:00:00","","1946206544","3b8162fb7ec505b6767055e16de243d8278d82f72bedf5cd805aa7a69fed5277","3.12","1"
"PCSA00149","US","MonsterBag","http://zeus.dl.playstation.net/cdn/UP9000/PCSA00149_00/UP9000-PCSA00149_00-MONSTERBAG000000_bg_1_8423589a5a2bd4d537888fa257280aec2616f3d1.pkg","KO5ifR1dQ+eHBlgidBmaWILs9/X3Cw5xDXJyhFqMz38f1Nqk/gdkv2ARtru+9lNLLWWhxbJhNMXQFgAAN34VXAAA","UP9000-PCSA00149_00-MONSTERBAG000000","2017-09-26 00:00:00","","454795568","759d817c6c907a12ed910820280bda2b6e8c4ae7b0272cb960e0ac5c635635f5","3.36","1"
"PCSE00838","US","MOP: Operation Cleanup","http://zeus.dl.playstation.net/cdn/UP0244/PCSE00838_00/UP0244-PCSE00838_00-MOPPSVENSENASOFT_bg_1_ba7250eb3412a76d6625223d3ed931fea455b1b3.pkg","MISSING","UP0244-PCSE00838_00-MOPPSVENSENASOFT","2018-01-27 16:13:20","","177252016","f2aa4dd39cfb3f39905c48a5cc07b5ec164481bd15af321f6dc5e6411bccc7e0","3.57","1"
"PCSE00023","US","Mortal Kombat","http://zeus.dl.playstation.net/cdn/UP1018/PCSE00023_00/fnOUmkSfSVuqLeIQutoVrbJwKWqMCuGWJdBOGCMHAGJyujzovnMgrwKkvKDJJhJeEkwMZVJztnrkCyjYpUKyMsrzkMHdmiNIgFfVq.pkg","KO5ifR1dQ+eHBhgaGFrATDUyBtnv6x3qExLkCLcUn/+661vjKo5FPrn859b6rOepKqMxPrgBAC0HFdgA","UP1018-PCSE00023_00-MKULTRA000000000","2017-09-26 00:00:00","","3204585408","66dfbcc69342bb39576f72af34a53c70e7cc7dddd0a890b6ede7723f8763ead6","1.61","1"
"PCSE00409","US","MotoGP 13","http://zeus.dl.playstation.net/cdn/UP4008/PCSE00409_00/jjUHwmiPaAlHSRjHkmhoOVVMNFRRPiOZmgQyMyFYGWnsYuLBqCdOsdGfkdUqADSo.pkg","KO5ifR1dQ+eHBgAttoCaamJgCbLf1z/E3z3AEOSs0GCQGXhA85fTkzyEWTeuUJn27pL+3X2jMT64AQBKsxVL","UP4008-PCSE00409_00-MOTOGP13000US000","2017-09-26 00:00:00","","1536117920","c2e792320ed931b013cc8022e1b7d9fc40019b313cdc250af537cfd1d8ef69c6","3.15","1"
"PCSE00529","US","MotoGP 14","http://zeus.dl.playstation.net/cdn/UP0700/PCSE00529_00/XQkPkqaqkZAiMYCEikJisDysjzjhqDlJayMKlbQpRWYVDOGNDFBFgAdSrnCOvrgZ.pkg","KO5ifR1dQ+eHBoBcAjXV1MgSZL+vf4i/e4ChiVuoj4+7o68rPv/FBR9JaqqZnyYenN7Gezp6z2iMD24AAG28FB4A","UP0700-PCSE00529_00-MOTOGP14FULLGAME","2017-09-26 00:00:00","","1854481840","40e3b5fa491735910a378bda9d9ec395ce19bdeadafcd15b7ba3a8eaea845c84","3.15","1"
"PCSA00034","US","MotorStorm RC","http://ares.dl.playstation.net/cdn/UP9000/PCSA00034_00/cumCDwiIpODgutrqHWFZvfPMnXTrCvioAZnmckRqEbJookJxsUbtMpYxvtUHLqVPSOBXagYvBOblDmJFPGOTkBQnEqblyvrWGtgeC.pkg","KO5ifR1dQ+eHBlgi6TI2Adkf6usf4h8UDMQQO/H5b+e169ZndqWXJGf9S5WYZRE/yKODeaSnRwBAyxU4","UP9000-PCSA00034_00-UMOTORSTOR000001","2017-10-23 19:49:29","","677285888","211e69576f14c2c008c8d0354dffad8f1e85e93c7ad9a1600dd46a968e66dc37","1.52","1"
"PCSA00027","US","MotorStorm RC","http://zeus.dl.playstation.net/cdn/UP9000/PCSA00027_00/CKVSHujeZAWPPUOFMNrHjptOYukpqxjYGugAwegatzhWKhDKldkpGKPNevBFAweaDLoqcKEWwPHZzBgMJdZWBtMFZLuJxcNCWawlT.pkg","KO5ifR1dQ+eHBlgi6TIyB9kf6usf4h8UDMQQO/H5T451Qd+nDE/DcknvXxvfG4eOxvjgBgD3LBPe","UP9000-PCSA00027_00-UMOTORSTOR000001","2019-01-08 13:28:21","","677077696","8d820911ac37c0a062275d429e3c107a12de0e487e495c4eb86d12e679e0dc00","1.52","1"
"PCSE00420","US","MouseCraft","http://zeus.dl.playstation.net/cdn/UP4395/PCSE00420_00/zbUrxVTVoajMJcLaUDaPKXNuRZwJqTRfMEvwmuKNlUnYrylXAkvNnDWojRSoCpMb.pkg","KO5ifR1dQ+eHBpgYW5pCTTUxAtvv6x8a7Ooc5OgWEuYZAjQMn//4H6u/L5GXTO2NFjghsuDRMspCi2XDaIqhLQAAYoEU0AAA","UP4395-PCSE00420_00-MOUSECRAFTVITA00","2017-09-26 00:00:00","","252273984","63646f650d305ef7f22479b5267e474c74c12851a50fb1eb42face2228ecb1d1","3.15","1"
"PCSE01002","US","Mr. Pumpkin's Adventure (3.61+!) [3.63]","http://zeus.dl.playstation.net/cdn/UP2833/PCSE01002_00/UP2833-PCSE01002_00-VITAMRPUMPKINNA0_bg_1_19b97ac34105414b3fd076c3e98bba8c86830fb9.pkg","KO5ifR1dQ+eHBhhZGBtDTDUE2geyP8wzxNE3KCDUN8Db08/P0QCf//j87i4Ve+mnun45i+6ezSoRozE+uAEAIRQT6gAA","UP2833-PCSE01002_00-VITAMRPUMPKINNA0","2017-09-26 00:00:00","","1032890496","cd9c5bc1f32688c45ce280290b4ae89899d12f43488acd7974619a51388c709d","3.63","1"
"PCSE00282","US","Ms. Germinator","http://zeus.dl.playstation.net/cdn/UP4073/PCSE00282_00/cFsifyBoKdsuyVdsxfiYOHAKWklDCGqgEDeRTmKeElqjugWsthWEnGiiDkpqDdqa.pkg","KO5ifR1dQ+eHBpgYmBtDTTWyMALZ7xvs7hrk6+nnGOIfFOYZ4ojPf9sZv6/yUCqxjZ7AfpF7iqvbII8O5pGeHgG7QBOp","UP4073-PCSE00282_00-MSGERMINATORVITA","2019-01-05 02:48:22","","349237280","edef84e6277ed1755579b3e68afd788ee8f8bd616843c40c18b3f13ff052c966","2.12","1"
"PCSE00219","US","MUD - FIM Motocross World Championship","http://zeus.dl.playstation.net/cdn/UP0700/PCSE00219_00/LXtwjAVyJqiNQDvyqixRPFagtbKseqiWyrRXUtOJGJGyjyYeKEetuFanqlCCKeCA.pkg","KO5ifR1dQ+eHBoBcAjXVyNASZL9vqEuYZ4iju6OvK9hSfP5bsie0x924/kPiROOA8yeyVUdjfHADAMg/FFwA","UP0700-PCSE00219_00-MUDVITAGAME00000","2019-01-05 05:02:41","","509481664","08777f439899d164f12a3199eb109e4cf2fa998a1f1e31281f35c4647492a666","2.01","1"
"PCSE00240","US","Muramasa Rebirth","http://zeus.dl.playstation.net/cdn/UP1024/PCSE00240_00/ZKFZLNrSBKJFZoxtOHUuJzITCwTDyHiGkosysEWbegnJondsxSoCrbrejEhAvYCD.pkg","KO5ifR1dQ+eHBhgaGJlATTUyAdvv7+Qf5O8bGuTo6wg2C5//7jv1btu/s3xT1Kn0hUGHToSNxvjgBgDlgxY3","UP1024-PCSE00240_00-OBOROMURAMASA000","2017-09-26 00:00:00","","471732896","339cd06ec0f19bea3c9ce40fe47d4873b365d8ad6f78845f9819edeb0d5d9b71","2.11","1"
"PCSA00153","US","Murasaki Baby","http://zeus.dl.playstation.net/cdn/UP9000/PCSA00153_00/zZNKMtJEMUPJjRKScObwZXWghUumOLOFPThyvyJpzVdreNxgjbfMdGYIdAzGVGqF.pkg","KO5ifR1dQ+eHBlgidBmaGoPs9w0Ncgx29PZ0cnSKBFmKz3/6Mvv0p36J5N/we+lrzTU2Mwd5dDCP9PQIAFusFLkA","UP9000-PCSA00153_00-MURASAKIBABY0000","2017-09-26 00:00:00","","298872576","ae7ea7ea195b2b022da96aaddf716ff726009caecfa330731d55f8d01f00797e","3.15","1"
"PCSE00872","US","Murasaki Mist: Akara's Journey","http://zeus.dl.playstation.net/cdn/UP0336/PCSE00872_00/UP0336-PCSE00872_00-MM10000000000001_bg_1_d492aa94956745e07a1d120cdffde3ef3533f9dd.pkg","KO5ifR1dQ+eHBhgYG5tBTbUwNwLZ7+traIAEDPH5r+vHVTE51aPTtv6WY/0VpM0+GuODGwAAhsgTFAAA","UP0336-PCSE00872_00-MM10000000000001","2018-11-09 12:58:53","","552134896","bac28f0bd0ce9c5320748dfb063bfb6d85dce75de4974f69e13a7e357a92c544","3.57","1"
"PCSE01479","US","Mushroom Heroes","http://zeus.dl.playstation.net/cdn/UP3686/PCSE01479_00/UP3686-PCSE01479_00-MUSHROOMHEVITANA_bg_1_6aac503446b0271573eb3f506ad8ab4ba737e1c3.pkg","KO5ifR1dQ+eHBhibWZhBTDU0MbcE2e8bGuwR5O/v6+Ea5hni6OeIz3+xH40iHrDsUeYSqyqfd2CjxWiMD24AAMTuFEgA","UP3686-PCSE01479_00-MUSHROOMHEVITANA","2020-08-04 17:54:49","Mushroom Heroes","224468912","","3.69","1"
"PCSE01184","US","MUSYNX (3.61+!) [3.68]","http://zeus.dl.playstation.net/cdn/UP2011/PCSE01184_00/UP2011-PCSE01184_00-MUSYNCPSVUS00000_bg_1_b7a60ce6ff95ca43b293a2dd327dd412a1228819.pkg","KO5ifR1dQ+eHBhgZGEJNNTS0MAHZ7xsaHOnnHBAcFhoMthSf/wqWW1nVHZWpLZpmL6L79FjmaIwPbgAACgMT5AAA","UP2011-PCSE01184_00-MUSYNCPSVUS00000","2019-01-05 04:56:42","","588889936","3731b450091db135961a850af9ea015c109b3e50d916ae5c5641b68621c2dfeb","3.68","1"
